Location,Observation_Time,Temp_in_Celsius,Feels_Like_in_Celsius,Humidity_Percentage,WindSpeed_in_KPH,Weather_Condition,CloudCover_Percentage,Pressure_Millibars,UV_Index,Visibility_Kilometers
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
