Type,Field,Genotype,Block,Length,Width,Area,Weight
Triticum aestivum,Field_1,CV_2,I,5.54,3.56,15.08,36.12
Triticum aestivum,Field_1,CV_2,I,6.21,3.93,19.28,50.0
Triticum aestivum,Field_1,CV_2,I,5.62,2.58,11.11,24.13
Triticum aestivum,Field_1,CV_2,I,4.47,2.62,8.69,17.42
Triticum aestivum,Field_1,CV_2,I,6.31,3.33,16.41,40.38
Triticum aestivum,Field_1,CV_2,I,4.67,2.2,7.98,15.57
Triticum aestivum,Field_1,CV_2,I,6.15,3.35,16.13,39.49
Triticum aestivum,Field_1,CV_2,I,6.39,3.26,15.41,37.19
Triticum aestivum,Field_1,CV_2,I,6.82,3.85,19.67,51.34
Triticum aestivum,Field_1,CV_2,I,5.96,3.29,14.34,33.81
Triticum aestivum,Field_1,CV_2,I,6.92,3.66,18.98,48.97
Triticum aestivum,Field_1,CV_2,I,6.51,3.75,19.12,49.46
Triticum aestivum,Field_1,CV_2,I,6.08,3.65,16.89,41.98
Triticum aestivum,Field_1,CV_2,I,6.92,3.2,17.05,42.5
Triticum aestivum,Field_1,CV_2,I,6.07,3.06,14.11,33.1
Triticum aestivum,Field_1,CV_2,I,5.61,2.58,11.05,23.95
Triticum aestivum,Field_1,CV_2,I,6.21,3.64,16.6,41.02
Triticum aestivum,Field_1,CV_2,I,6.59,3.11,15.75,38.27
Triticum aestivum,Field_1,CV_2,I,5.76,2.44,10.54,22.49
Triticum aestivum,Field_1,CV_2,I,6.08,3.34,15.58,37.73
Triticum aestivum,Field_1,CV_2,I,5.24,2.45,9.96,20.88
Triticum aestivum,Field_1,CV_2,I,6.14,2.97,14.38,33.92
Triticum aestivum,Field_1,CV_2,I,6.45,3.31,16.47,40.59
Triticum aestivum,Field_1,CV_2,I,7.11,4.13,22.5,61.31
Triticum aestivum,Field_1,CV_2,I,6.43,4.12,19.65,51.25
Triticum aestivum,Field_1,CV_2,I,6.24,4.23,19.84,51.92
Triticum aestivum,Field_1,CV_2,I,6.39,3.63,17.98,45.59
Triticum aestivum,Field_1,CV_2,I,6.13,4.08,19.55,50.92
Triticum aestivum,Field_1,CV_2,I,6.37,3.67,18.51,47.38
Triticum aestivum,Field_1,CV_2,I,6.2,3.42,15.79,38.41
Triticum aestivum,Field_1,CV_2,I,6.23,3.86,18.16,46.18
Triticum aestivum,Field_1,CV_2,I,6.28,3.22,15.5,37.47
Triticum aestivum,Field_1,CV_2,I,4.94,2.46,9.01,18.29
Triticum aestivum,Field_1,CV_2,I,6.72,3.29,17.29,43.29
Triticum aestivum,Field_1,CV_2,I,5.84,2.94,12.86,29.26
Triticum aestivum,Field_1,CV_2,I,6.8,3.98,20.99,55.94
Triticum aestivum,Field_1,CV_2,I,6.65,3.25,17.03,42.44
Triticum aestivum,Field_1,CV_2,I,6.53,3.68,18.52,47.41
