Date,Open,High,Low,Close,Adj_Close,Volume,Date_For_Scraping,Perc_Change,Text,Clean_Text
3/3/2020,11217.54981,11342.25,11152.54981,11303.29981,11303.29981,696500,3/3/2020,-0.007644272,"Rahu with Ketu and Venus, well supported by Moon and Sun, after one hours of business Mars will be active for the<span id=""more-22440""></span> day. Indications are better, cues from foreign market important. Rahu is always deceptive, especially when is active with Ketu, so, trade cautiously. Certain countries may try to pump funds in their own open market, which may give advantage to their market, but we must be watchful for our internal situation also.Virus and related issues may remain active and globally situation may show some further fear. In our nation also, chances have developed, because of movements and casual approach by patients and others also.It will be better to minimize carry-forward for long position, because of some steps can be decided after our closing hour or I can say that foreign cues will be more important for tomorrow's market.Rahu may not allow to form base in the market in short period (I wish this observation goes wrong.) Krishna Paksha of Chaitra month of Hindu calendar – Panchami (fifth date of fortnight) is Kshay and Dwadashi (Twelfth day of fortnight) is Adhitithi. That means after 10-03-2020, market may show upper movements – just a chance, because other planets may be playing and influencing movements or their segments.Trade with strict stop-loss, but foreign cues may give positive movements during the day.Many segments may remain active, currency is weak and crude may show some movements.Indian Rupee may trade in between 71.70 to 72.70 per USD.Please like my Facebook page @ <a href=""https://www.facebook.com/AnoopAstroSutra"">https://www.facebook.com/AnoopAstroSutra</a>.Fill in your details below or click an icon to log in:Connecting to %s",rahu ketu venu well support moon sun one hour busi mar activ span id span day indic better cue foreign market import rahu alway decept especi activ ketu trade cautious certain countri may tri pump fund open market may give advantag market must watch intern situat also viru relat issu may remain activ global situat may show fear nation also chanc develop movement casual approach patient other also better minim carri forward long posit step decid close hour say foreign cue import tomorrow market rahu may allow form base market short period wish observ goe wrong krishna paksha chaitra month hindu calendar panchami fifth date fortnight kshay dwadashi twelfth day fortnight adhitithi mean market may show upper movement chanc planet may play influenc movement segment trade strict stop loss foreign cue may give posit movement day mani segment may remain activ currenc weak crude may show movement indian rupe may trade per usd pleas like facebook page href http www facebook com anoopastrosutra http www facebook com anoopastrosutra fill detail click icon log connect
3/6/2020,10942.65039,11035.09961,10827.40039,10989.4502,10989.4502,1811000,3/6/2020,-0.004276825,"Ketu with Venus is holding the key, well supported By Jupiter, Saturn, Sun, Mars and Rahu. High impact of Rahu is<span id=""more-22458""></span> minimized but is still active. Ketu is indicating its importance, influencing the market with unknown Virus – directly or indirectly. Pharma – certain areas are benefited. Research and laboratories may remain decently active.Crude may also be playing some role. Foreign cues can not be ignored, because lord is active. Sea related issues are heavily giving impact globally. It will be further tricky when Mars and Saturn will be in conjunction for around 45 days.Rahu in the house of banks and regions, has done a lot negatively as well in some cases positively. It will be better for us to look for betterment and opportunities (as and when available). Avoid odd statements.Clouds of uncertainty from the market have not gone. It's a last day of the week and next week is short of one day for business purpose because of Holi. Market may consider all the aspects, so bit confusing stage can be seen due to foreign cues etc.Lord of share market is slowing down to change its direction of transit. So, no support (proper from the lord of share market and banks). Next negative move for travels and tourism, and other segments may not be supportive.Trade with care, protect funds/money. Currency is also weak.Indian Rupee may trade in between 73.40 to 74.40 per USD.Please like my Facebook page @ <a href=""https://www.facebook.com/AnoopAstroSutra"">https://www.facebook.com/AnoopAstroSutra</a>.Fill in your details below or click an icon to log in:Connecting to %s",ketu venu hold key well support jupit saturn sun mar rahu high impact rahu span id span minim still activ ketu indic import influenc market unknown viru directli indirectli pharma certain area benefit research laboratori may remain decent activ crude may also play role foreign cue ignor lord activ sea relat issu heavili give impact global tricki mar saturn conjunct around day rahu hous bank region done lot neg well case posit better us look better opportun avail avoid odd statement cloud uncertainti market gone last day week next week short one day busi purpos holi market may consid aspect bit confus stage seen due foreign cue etc lord share market slow chang direct transit support proper lord share market bank next neg move travel tourism segment may support trade care protect fund money currenc also weak indian rupe may trade per usd pleas like facebook page href http www facebook com anoopastrosutra http www facebook com anoopastrosutra fill detail click icon log connect
3/9/2020,10742.04981,10751.54981,10294.4502,10451.4502,10451.4502,1565500,3/9/2020,0.027052529,"Ketu, Sun and Venus are leading the day with support of Rahu, Jupiter and Mars. Lord of share market and banks has<span id=""more-22471""></span> slowed down its speed for us, because will be changing its direction of transit on 10-03-2020. Tomorrow is again one holiday due to Holi festival. So, again one chance of doubts in the mind of traders can be seen during the day.Crude may face a fall in prices. Foreign cues are <strong>Very Important</strong>. Resulting gold may get advantage.Virus based and other accumulated issues are hurting sentiment of market (Globally). Reliance on one nation is now showing its results (in many ways). Now, time has come we must plan our manufacturing segments for electronic chips, and small parts which may help to manufacture our indigenous Electronic products, raw materials for pharma and many more.Time to be watchful. Lower prices of crude are indicating direction of global issues etc. Sentient of banks and finances is not comfortable.Difficult to comment on segments.Word of suggestion is trade with care. Protect your money.Indian Rupee may trade in between 73.40 to 74.30 per USD.Please like my Facebook page @ <a href=""https://www.facebook.com/AnoopAstroSutra"">https://www.facebook.com/AnoopAstroSutra</a>.Fill in your details below or click an icon to log in:Connecting to %s",ketu sun venu lead day support rahu jupit mar lord share market bank span id span slow speed us chang direct transit tomorrow one holiday due holi festiv one chanc doubt mind trader seen day crude may face fall price foreign cue strong import strong result gold may get advantag viru base accumul issu hurt sentiment market global relianc one nation show result mani way time come must plan manufactur segment electron chip small part may help manufactur indigen electron product raw materi pharma mani time watch lower price crude indic direct global issu etc sentient bank financ comfort difficult comment segment word suggest trade care protect money indian rupe may trade per usd pleas like facebook page href http www facebook com anoopastrosutra http www facebook com anoopastrosutra fill detail click icon log connect
3/11/2020,10334.29981,10545.09961,10334.0,10458.40039,10458.40039,1218500,3/11/2020,-0.012008611,"Mercury has started transiting direct, I mean lord of share market and banks has changed the direction of transit<span id=""more-22480""></span> (Budh ne badali Chaal). Ketu and Sun are leading the day with Jupiter, Rahu, Mars, Venus and Moon. Only Saturn is not active otherwise directly or indirectly all the planets are active. Moon is forming decent relationship with Jupiter and Mars. Foreign cues are important, but chances for the day may show a sort of Volatility. It is difficult to believe that market has regained confidence. Corona Virus indications are better in China, but global cues are not decent.Crude is low, but curtail indications are possible. Currency is in a decent position.I feel that due to change of transit of Mercury may try to move the movements, but we cannot ignore importance of Ketu and Rahu, jointly they are strong. So, it will be better to wait and see the levels of Nifty.If market will see a pull back due to change in direction of Mercury, it will be better to wait for sailing in the flow of pull back. It will be better if precautions are maintained. Nifty may try to look for previous working day's levels (will not be surprising).Movements in almost in all the segments, but will it be positive – better to watch.Protect your funds. Daily trading is not important.Indian Rupee may trade in between 73.30 to 74.10 per USD.Please like my Facebook page @ <a href=""https://www.facebook.com/AnoopAstroSutra"">https://www.facebook.com/AnoopAstroSutra</a>.Fill in your details below or click an icon to log in:Connecting to %s",mercuri start transit direct mean lord share market bank chang direct transit span id span budh ne badali chaal ketu sun lead day jupit rahu mar venu moon saturn activ otherwis directli indirectli planet activ moon form decent relationship jupit mar foreign cue import chanc day may show sort volatil difficult believ market regain confid corona viru indic better china global cue decent crude low curtail indic possibl currenc decent posit feel due chang transit mercuri may tri move movement cannot ignor import ketu rahu jointli strong better wait see level nifti market see pull back due chang direct mercuri better wait sail flow pull back better precaut maintain nifti may tri look previou work day level surpris movement almost segment posit better watch protect fund daili trade import indian rupe may trade per usd pleas like facebook page href http www facebook com anoopastrosutra http www facebook com anoopastrosutra fill detail click icon log connect
3/13/2020,9107.599609,10159.40039,8555.150391,9955.200195,9955.200195,1388000,3/13/2020,-0.093065201,"Rahu, Sun with Venus is leading the day, well supported by Jupiter, Ketu and Mars. Opening may again a bad<span id=""more-22495""></span> opening for the investors and if fall will be beyond expectations then will not be surprising. Foreign cues, health issues + local issues (<strong>sone pe suhaga</strong>) like unemployment, falling GDP, falling Production from last one or more than one year.Weekend ahead.I mean to say that we may fall more than global falling (this will not surprise me), Rahu in finance and banks has shown its game. Reactive policies may not go to solve the issue, only properly planned and then execution will give a positive indication to the market. Within last one year – Finance was on the basis to boost share market (reactive) but not for the concrete growth and for employment (which was clearly seen after November 8<sup>th</sup>, 2016).Corona virus is clear. Only research or out of the box solution may give some relief from the virus. Announcements from government for closing cinema hall or schools (state wise) is indicating alarming conditions. Countries like US, Germany or Ministers in the European nations, are facing negative impact of Corona. Research work result is still awaited.Again, crude is falling, Currency may lose its level. Protect your funds, because this can be again a fall for all the segments, because all the planets are active directly or indirectly. Chances of change in movements after 14:00 Hrs (IST) is possible (just a chance).Better to wait and watch for the movements. Protect your funds. Even Options trading should be avoided.Indian Rupee may trade in between 73.80 to 74.80 per USD.Fill in your details below or click an icon to log in:Connecting to %s",rahu sun venu lead day well support jupit ketu mar open may bad span id span open investor fall beyond expect surpris foreign cue health issu local issu strong sone pe suhaga strong like unemploy fall gdp fall product last one one year weekend ahead mean say may fall global fall surpris rahu financ bank shown game reactiv polici may go solv issu properli plan execut give posit indic market within last one year financ basi boost share market reactiv concret growth employ clearli seen novemb sup th sup corona viru clear research box solut may give relief viru announc govern close cinema hall school state wise indic alarm condit countri like us germani minist european nation face neg impact corona research work result still await crude fall currenc may lose level protect fund fall segment planet activ directli indirectli chanc chang movement hr ist possibl chanc better wait watch movement protect fund even option trade avoid indian rupe may trade per usd fill detail click icon log connect
3/16/2020,9587.799805,9602.200195,9165.099609,9197.400391,9197.400391,897700,3/16/2020,0.040718353,"Sun and Venus are leading the day, with support of Mercury, Mars, Jupiter, Rahu and Ketu. Moon will move in<span id=""more-22509""></span> Sagittarius sign at 11:11 Hrs (IST). It's not the time to talk about levels. I agree that market has seen very big correction. This may give chance to sail in the current of the flow of market. Even then I am afraid of bit volatility after some time of opening. Foreign cues are important, but at the same time local conditions are more important.Ketu will gain strength, indicating that virus impact may increase in coming period. Globally, situation may be bit more tough. In India we must take more precautions.Although previous day we had seen great fall and then remarkable recovery from lower levels. Global markets are indicating for 10 years yield (Like Germany, France and many more). We have yielded 7 year. It will be interesting to see proceedings during the day, because again wave like sea can be seen in either side (direction wise). Confidence in the market (according to the planetary position) is missing. Previous day, I had suggested to protect your funds. Only long-term investors can look for only very strong companies at lower rates but stage wise, to get the proper levels of their equities, I mean to get the average better.Intraday traders can use their intellect and go with very strict stop-loss. Global cues will be important along with the Gold and Crude oil levels. I feel market may look to form a base.Waves will not be a surprise. Look for Opportunities on both sides.Maximum segments will be playing their roles. Only point is good equities will be showing better movements during this condition. Trade with care.Indian Rupee may trade in between 73.40 to 74.30 per USD.Please like my Facebook page @ <a href=""https://www.facebook.com/AnoopAstroSutra"">https://www.facebook.com/AnoopAstroSutra</a>.Fill in your details below or click an icon to log in:Connecting to %s",sun venu lead day support mercuri mar jupit rahu ketu moon move span id span sagittariu sign hr ist time talk level agre market seen big correct may give chanc sail current flow market even afraid bit volatil time open foreign cue import time local condit import ketu gain strength indic viru impact may increas come period global situat may bit tough india must take precaut although previou day seen great fall remark recoveri lower level global market indic year yield like germani franc mani yield year interest see proceed day wave like sea seen either side direct wise confid market accord planetari posit miss previou day suggest protect fund long term investor look strong compani lower rate stage wise get proper level equiti mean get averag better intraday trader use intellect go strict stop loss global cue import along gold crude oil level feel market may look form base wave surpris look opportun side maximum segment play role point good equiti show better movement condit trade care indian rupe may trade per usd pleas like facebook page href http www facebook com anoopastrosutra http www facebook com anoopastrosutra fill detail click icon log connect
3/17/2020,9285.400391,9403.799805,8915.599609,8967.049805,8967.049805,935600,3/17/2020,0.034285068,"Venus with Sun is controlling the day and well supported by Rahu, Ketu, Sun, Mars and Jupiter. Global conditions and<span id=""more-22518""></span> Virus hit situation along with our own slow down before this Virus issue are main cause of concern during the period. Planets are not supportive. Big players may play their game for Ups. Trade with care.I agree that good equities are available at attractive rates, but shortly planetary position is going to change like Mars and Jupiter will be changing their position within this fortnight. Importantly during this running Chaitra Krishna Paksha we have one Tithi Kshay and one Adhitithi. This is rare event.Market is facing Utha-patak, secondly Rahu and Ketu are also playing for Volatility. From 22-03-2020, Mars and Saturn will be in the same sign, so this Pandemic (Corona Virus) or some other natural calamity may hit Universe. Previously on many occasions this combination has given Plague and other Pandemic (inclusive in developed nations like US etc.). So, till 30-03-2020 situation may be bit tough after that for few days Jupiter will enter in Capricorn (30-03-2020), so that may be period of little relief (possibly).Still, I feel that movements from lower levels can be seen, (smart people's move). Global cues from western world is not decent.Many segments are active, so whatever movements will be seen – will be for many segments. Banks due to certain banks may show movements.Nifty may try to show some recovery, but I am not confident for long as on date.Trade wisely during this period. Foreign cues may be decent which may give impact in local market.Indian Rupee may trade in between 73.30 to 74.30 per USD.Please like my Facebook page @ <a href=""https://www.facebook.com/AnoopAstroSutra"">https://www.facebook.com/AnoopAstroSutra</a>.Fill in your details below or click an icon to log in:Connecting to %s",venu sun control day well support rahu ketu sun mar jupit global condit span id span viru hit situat along slow viru issu main caus concern period planet support big player may play game up trade care agre good equiti avail attract rate shortli planetari posit go chang like mar jupit chang posit within fortnight importantli run chaitra krishna paksha one tithi kshay one adhitithi rare event market face utha patak secondli rahu ketu also play volatil mar saturn sign pandem corona viru natur calam may hit univers previous mani occas combin given plagu pandem inclus develop nation like us etc till situat may bit tough day jupit enter capricorn may period littl relief possibl still feel movement lower level seen smart peopl move global cue western world decent mani segment activ whatev movement seen mani segment bank due certain bank may show movement nifti may tri show recoveri confid long date trade wise period foreign cue may decent may give impact local market indian rupe may trade per usd pleas like facebook page href http www facebook com anoopastrosutra http www facebook com anoopastrosutra fill detail click icon log connect
3/18/2020,9088.450195,9127.549805,8407.049805,8468.799805,8468.799805,1516600,3/18/2020,0.068179984,"Sun with Venus is leading the day and well supported by Rahu, Ketu, Saturn and Mars. Importantly, Mars and Jupiter<span id=""more-22525""></span> are within one Navmansha distance, so, combination for Obsession or depth or distraction can be seen at any moment in coming period. Moon is forming decent relationship with Sun. Indicates advisories from government, which may give impact on the market.I am not positive for the situation, one or two days we may see sudden rise or little bit of positive moves, but planets are not supporting the market. Importantly, next week Mars and Saturn will be in conjunction – Capricorn sign, this union will be changing on May 4th, 2020. Jupiter will move in Capricorn sign on 30-03-2020, we may see some relief in natural calamity/health scare etc., but overall period will not be decent (globally).Difference between 2008 and 2020 is – that time it was a concern related to banking and finances, but this time it is related to Lockdown of human being, automatically businesses will slow down. Apart from astrology, practically – Anti Virus medicine may take a year or so, from the time of break out of virus.Anyways, todays position may be seen with some neutral movements or we may see some buying at lower levels. Trouble is India VIX.We must watch foreign cues also. Reasons are that our own weaknesses. Telecom and related banks may show sudden movements, may be based on Judiciary decisions. Possibility of movements in automobile little bit (may be due to availability of equities at very attractive rates and some other news).Crude is losing its levels, so oil exploring companies may be showing pressure, whereas oil marketing companies may be bit better, although demands in the market is not encouraging. Movements in the country is restricted, so pressure can be seen on related sectors like aviation etc.Trade with care.Indian Rupee may trade in between 73.40 to 74.30 per USD.Please like my Facebook page @ <a href=""https://www.facebook.com/AnoopAstroSutra"">https://www.facebook.com/AnoopAstroSutra</a>.Fill in your details below or click an icon to log in:Connecting to %s",sun venu lead day well support rahu ketu saturn mar importantli mar jupit span id span within one navmansha distanc combin obsess depth distract seen moment come period moon form decent relationship sun indic advisori govern may give impact market posit situat one two day may see sudden rise littl bit posit move planet support market importantli next week mar saturn conjunct capricorn sign union chang may th jupit move capricorn sign may see relief natur calam health scare etc overal period decent global differ time concern relat bank financ time relat lockdown human automat busi slow apart astrolog practic anti viru medicin may take year time break viru anyway today posit may seen neutral movement may see buy lower level troubl india vix must watch foreign cue also reason weak telecom relat bank may show sudden movement may base judiciari decis possibl movement automobil littl bit may due avail equiti attract rate news crude lose level oil explor compani may show pressur wherea oil market compani may bit better although demand market encourag movement countri restrict pressur seen relat sector like aviat etc trade care indian rupe may trade per usd pleas like facebook page href http www facebook com anoopastrosutra http www facebook com anoopastrosutra fill detail click icon log connect
3/19/2020,8063.299805,8575.450195,7832.549805,8263.450195,8263.450195,925700,3/19/2020,-0.024822392,"Sun with Rahu is leading the day, well supported by Venus, Ketu, Saturn and Moon. Local situation is again<span id=""more-22537""></span> important. Banks are still not supporting. Pressure is again possible. It hurts to give such statements for the market. In Krishna Paksha Adhi Tithi is ahead after one Kshay Tithi, so this fortnight of Krishna Paksha till 24-03-2020 may remain not supportive (instead of bad I mentioned not supportive – just to feel better). I wish this observation goes wrong.Global cues for the trade are not comfortable, and local lock-down has started. Daily wages earners, what they will be doing in coming period. Which may hurt sentiments of the consumption theory of India's share market. On 22-03-2020, Mars will enter with Saturn in Capricorn, which is not considered auspicious position globally. We can expect transit of Jupiter from 30-03-2020 to give some relief during the transit of Mars in Capricorn.Currency may further go down. Or better to say that may look for 75 against USD.Crude is failing to maintain its levels, because of lack of consumption.Levels – market is looking for Levels. Europe is facing severe position; USA is also under alarming situation. Protect your funds. This is important even in rise of market.It will be better to live safe, follow safety measures for the contentment of Corona. Gold may not feel comfort.Indian Rupee may trade in between 74.00 to 75.00 per USD.Fill in your details below or click an icon to log in:Connecting to %s",sun rahu lead day well support venu ketu saturn moon local situat span id span import bank still support pressur possibl hurt give statement market krishna paksha adhi tithi ahead one kshay tithi fortnight krishna paksha till may remain support instead bad mention support feel better wish observ goe wrong global cue trade comfort local lock start daili wage earner come period may hurt sentiment consumpt theori india share market mar enter saturn capricorn consid auspici posit global expect transit jupit give relief transit mar capricorn currenc may go better say may look usd crude fail maintain level lack consumpt level market look level europ face sever posit usa also alarm situat protect fund import even rise market better live safe follow safeti measur content corona gold may feel comfort indian rupe may trade per usd fill detail click icon log connect
3/20/2020,8284.450195,8883.0,8178.200195,8745.450195,8745.450195,1071500,3/20/2020,-0.055646421,"Sun and Rahu are leading the day with support of Ketu, Moon, Saturn and Venus. Two planets are involved in <span id=""more-22543""></span>Planetary war and planets are Jupiter and Mars. Defeated planet is Jupiter, but obsession can be seen, chances of sudden rise in crude. This crude can be due to planetary position only, otherwise situation may remain for lower rates in crude.Mars is changing its house on 22-03-2020, will be moving with Saturn in Capricorn sign. Situation may be bit tough because Mars and Sun both with Jupiter will be in the same Nakshtra.Sudden shut down in the market is seen. Automobile and related segments may face some pressure in coming period, although today chance of some movements can be seen.Fear of further unemployment can be giving an indication for fall in consumption of goods, in coming days.Pressure in the market can be seen. Or better to say that emotions of the market can be seen. Market is fear of Lock-down situation in India also. Time to protect funds.Pandemic in Italy or other parts of globe is increasing. PM's speech is also for suggestions, including suggesting for Janata Curfew on 22-03-2020. Possibly this may be one trial to understand situation (for future). It will be better to wait for Government's possibly/announcements.Market may try to hold previous day's lower levels.Indian Rupee may trade in between 74.40 to 75.40 per USD.Please like my Facebook page @ <a href=""https://www.facebook.com/AnoopAstroSutra"">https://www.facebook.com/AnoopAstroSutra</a>.Fill in your details below or click an icon to log in:Connecting to %s",sun rahu lead day support ketu moon saturn venu two planet involv span id span planetari war planet jupit mar defeat planet jupit obsess seen chanc sudden rise crude crude due planetari posit otherwis situat may remain lower rate crude mar chang hous move saturn capricorn sign situat may bit tough mar sun jupit nakshtra sudden shut market seen automobil relat segment may face pressur come period although today chanc movement seen fear unemploy give indic fall consumpt good come day pressur market seen better say emot market seen market fear lock situat india also time protect fund pandem itali part globe increas pm speech also suggest includ suggest janata curfew possibl may one trial understand situat futur better wait govern possibl announc market may tri hold previou day lower level indian rupe may trade per usd pleas like facebook page href http www facebook com anoopastrosutra http www facebook com anoopastrosutra fill detail click icon log connect
