type,name,rankingPosition,priceLevel,category,rating,phone,address,email,webUrl,website,rankingDenominator,rankingString,numberOfReviews
ATTRACTION,Beira Lake,24,,attraction,3.5,,"02 Colombo, Colombo 01200 Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d7155436-Reviews-Beira_Lake-Colombo_Western_Province.html,,156,#24 of 156 things to do in Colombo,200
ATTRACTION,Marino Mall,27,,attraction,4.0,+94 11 2 375375,"590 Galle Road Colombo 03, Colombo 00300 Sri Lanka",premises@marinomall.com,https://www.tripadvisor.com/Attraction_Review-g293962-d15084869-Reviews-Marino_Mall-Colombo_Western_Province.html,http://www.marinomall.com/,156,#27 of 156 things to do in Colombo,75
RESTAURANT,The Fishery,1,$$ - $$$,restaurant,4.5,+94 11 2 049600,"Pegasus Reef Hotel No 2 Hendala, Wattala 11300 Sri Lanka",info@pegasusreefhotel.com,https://www.tripadvisor.com/Restaurant_Review-g1189028-d12384471-Reviews-The_Fishery-Wattala_Western_Province.html,http://www.thefishery.lk/,12,#1 of 15 places to eat in Wattala,103
ATTRACTION,Vogue Jewellers (Pvt) Ltd,1,,attraction,5.0,+94 11 2 414414,"528 Galle Rd, Colombo 00300 Sri Lanka",customerfeedback@voguejewellers.com,https://www.tripadvisor.com/Attraction_Review-g293962-d13166925-Reviews-Vogue_Jewellers_Pvt_Ltd-Colombo_Western_Province.html,http://www.voguejewellers.com,204,#1 of 204 Shopping in Colombo,789
ATTRACTION,Colombo City Centre,26,,attraction,4.0,+94 70 251 4811,"137 Sir James Pieris Mawatha, Colombo 00200 Sri Lanka",info@colombocitycentre.lk,https://www.tripadvisor.com/Attraction_Review-g293962-d15218691-Reviews-Colombo_City_Centre-Colombo_Western_Province.html,http://www.colombocitycentre.lk,156,#26 of 156 things to do in Colombo,119
ATTRACTION,One Galle Face,25,,attraction,4.0,+94 11 7 869888,"1A, Centre Road, Colombo 00200 Sri Lanka",info@onegalleface.com,https://www.tripadvisor.com/Attraction_Review-g293962-d19410547-Reviews-One_Galle_Face-Colombo_Western_Province.html,http://onegalleface.com/,156,#25 of 156 things to do in Colombo,85
ATTRACTION,Colombo Fort Railway Station,37,,attraction,3.5,+94 11 2 434215,"Olcott Mawatha Road, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,http://www.railway.gov.lk,156,#37 of 156 things to do in Colombo,477
ATTRACTION,Good Market,23,,attraction,4.0,+94 77 020 8642,"Racecourse, Colombo 07, Colombo 00700 Sri Lanka",info@goodmarket.lk,https://www.tripadvisor.com/Attraction_Review-g293962-d4325281-Reviews-Good_Market-Colombo_Western_Province.html,http://info.goodmarket.global/saturday-good-market.html,156,#23 of 156 things to do in Colombo,109
ATTRACTION,Arcade Independence Square,21,,attraction,4.0,+94 11 2 055636,"7 Colombo, Colombo 00700 Sri Lanka",info@independentarcade.com,https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,https://www.facebook.com/arcadeindependence/,156,#21 of 156 things to do in Colombo,194
ATTRACTION,Asokaramaya Buddhist Temple,8,,attraction,4.5,,"Thimbirigasyaya Rd, Colombo 00500 Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d7056001-Reviews-Asokaramaya_Buddhist_Temple-Colombo_Western_Province.html,,156,#8 of 156 things to do in Colombo,198
