_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
1,CT#1,NHMUK,10820547,Megabombus,Bombus montivagus,1991.0,Nov,17/1/1900,Thailand,Doi Suthep-Pui NP ,18.8067,98.9164,1130,1130,I. J. Kitching,Male
2,CT#2,NHMUK,10820548,Megabombus,Bombus montivagus,1991.0,Nov,17/11/1991,Thailand,Doi Suthep-Pui NP ,18.8067,98.9164,1130,1130,I. J. Kitching,Worker
3,CT#3,NHMUK,10820549,Megabombus,Bombus montivagus,1920.0,May,31/05/1920,Laos,Luang Prabang,20.0656,102.6216,,,R. V. de Salvaza,Male
4,CT#4,NHMUK,10820550,Megabombus,Bombus montivagus,1964.0,Feb,14/02/1964,Malaysia,Gunung Brinchang,4.5175,101.3825,2030,2030,H. T. Pagden,Queen
5,CT#5,NHMUK,10820551,Megabombus,Bombus montivagus,1935.0,Jun,17/06/1935,Malaysia,Cameron highlands,4.4721,101.3801,1382,1524,H. M. Pendlebury,Worker
6,CT#6,NHMUK,10820552,Megabombus,Bombus montivagus,1938.0,Jul,26/07/1938,Malaysia,Gunung Berembun,4.3333,101.45,1841,1841,H. M. Pendlebury,Worker
7,CT#7,NHMUK,10820553,Megabombus,Bombus montivagus,1938.0,Jul,19/07/1938,Malaysia,Cameron highlands,4.4721,101.3801,1585,1585,H. M. Pendlebury,Worker
8,CT#8,NHMUK,10820554,Megabombus,Bombus albopleuralis,1935.0,Mar,14/03/1935,India,Mishmi Hills,28.25,96.0,747,747,M. Steele,Queen
9,CT#9,NHMUK,10820555,Megabombus,Bombus albopleuralis,1935.0,Mar,28/03/1935,India,Lohit River,27.7985,95.6353,,,M. Steele,Queen
10,CT#10,NHMUK,10820556,Megabombus,Bombus albopleuralis,1938.0,Jul,27/7/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914,914,R. Kaulback,Worker
11,CT#11,NHMUK,10820557,Megabombus,Bombus albopleuralis,1938.0,Jul,24/7/1938,Myanmar,Nam Tamai Valley,27.7,97.4,914,914,R. Kaulback,Worker
12,CT#12,NHMUK,10820558,Megabombus,Bombus albopleuralis,1931.0,Aug,7/8/1931,Myanmar,Nam Tamai ,27.7,97.9,,,Lord Cranbrook,Worker
13,CT#13,NHMUK,10820559,Megabombus,Bombus albopleuralis,1938.0,Jul,7/7/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914,914,R. Kaulback,Worker
14,CT#14,NHMUK,10820560,Megabombus,Bombus albopleuralis,1938.0,Jul,7/7/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914,914,R. Kaulback,Worker
15,CT#15,NHMUK,10820561,Megabombus,Bombus albopleuralis,1938.0,Aug,15/8/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914,914,R. Kaulback,Worker
16,CT#16,NHMUK,10820562,Megabombus,Bombus albopleuralis,1938.0,Dec,9/12/1938,Myanmar,Nam Tamai Valley,27.8,97.8,1067,1067,R. Kaulback,Worker
17,CT#17,NHMUK,10820563,Megabombus,Bombus albopleuralis,1938.0,Feb,8/2/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914,914,R. Kaulback,Worker
18,CT#18,NHMUK,10820564,Megabombus,Bombus albopleuralis,1938.0,Aug,15/8/1938,Myanmar,Nam Tamai Valley,27.7,97.4,914,914,R. Kaulback,Worker
19,CT#19,NHMUK,10820565,Megabombus,Bombus albopleuralis,1938.0,Dec,9/12/1938,Myanmar,Nam Tamai Valley,27.8,97.8,1067,1067,R. Kaulback,Worker
20,CT#20,NHMUK,10820566,Megabombus,Bombus  irisanensis,,,,Philippines,North Luzon,16.5662,121.2626,,,,Worker
21,CT#21,NHMUK,10820567,Megabombus,Bombus  senex,1923.0,Aug,,Indonesia,West Sumatra,-1.6967,101.2642,3048,3048,C. J. Brooks,Queen
22,CT#22,NHMUK,10820568,Megabombus,Bombus  senex,1923.0,Aug,,Indonesia,West Sumatra,-1.6967,101.2642,3048,3048,C. J. Brooks,Worker
23,CT#23,NHMUK,10820569,Megabombus,Bombus  senex,1914.0,May,,Indonesia,Korinchi peak,-1.6967,101.2642,3048,3048,H. T. Pagden,Queen
24,CT#24,NHMUK,10820570,Megabombus,Bombus  senex,1929.0,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800,2094,H. T. Pagden,Worker
25,CT#25,NHMUK,10820571,Megabombus,Bombus  senex,1929.0,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800,2094,H. T. Pagden,Worker
26,CT#26,NHMUK,10820572,Megabombus,Bombus  senex,1929.0,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800,2094,H. T. Pagden,Male
27,CT#27,NHMUK,10820573,Megabombus,Bombus  senex,1929.0,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800,2094,H. T. Pagden,Male
28,CT#28,NHMUK,10820574,Megabombus,Bombus  senex,1929.0,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800,2094,H. T. Pagden,Male
29,CT#29,NHMUK,10820575,Orientalibombus,Bombus funerarius,1938.0,Sep,16/9/1938,Myanmar,Nam Tamai Valley,27.7,97.9,1524,1524,R. Kaulback,Worker
30,CT#30,NHMUK,10820576,Orientalibombus,Bombus funerarius,1938.0,Sep,16/9/1938,Myanmar,Nam Tamai Valley,27.7,97.9,1524,1524,R. Kaulback,Worker
31,CT#31,NHMUK,10820577,Orientalibombus,Bombus haemorrhoidalis,1920.0,May,31/5/1920,Laos,Luang Prabang,20.09,101.43,,,R. V. de Salvaza,Male
32,CT#32,NHMUK,10820578,Orientalibombus,Bombus haemorrhoidalis,1918.0,Jan,12/1/1918,Laos,Tintoe,,,,,R. V. de Salvaza,Male
33,CT#33,NHMUK,10820579,Orientalibombus,Bombus haemorrhoidalis,1891.0,Dec,,Myanmar,Tenasserim Kelido,18.53,97.2,,,C. T. Bingham,Male
34,CT#34,NHMUK,10820580,Orientalibombus,Bombus haemorrhoidalis,1917.0,Nov,26/11/1917,Laos,Xieng Khouaug ,19.4233408,102.3493073,,,R. V. de Salvaza,Male
35,CT#35,NHMUK,10820581,Orientalibombus,Bombus haemorrhoidalis,1918.0,Mar,14/3/1918,Laos,Luang Prabang,20.09,101.43,,,R. V. de Salvaza,Queen
36,CT#36,NHMUK,10820582,Orientalibombus,Bombus haemorrhoidalis,1892.0,Nov,,Myanmar,Dawnat Range,17.1999989,98.0658234,,,C. T. Bingham,Worker
37,CT#37,NHMUK,10820583,Orientalibombus,Bombus haemorrhoidalis,1928.0,Mar,24/3/1928,Thailand,Chiang Mai,18.77,98.94,,,Dr. & Mrs. J. W. McKean,Worker
38,CT#38,NHMUK,10820584,Orientalibombus,Bombus haemorrhoidalis,1934.0,Aug,,Myanmar,Taunggyi,20.7869273,97.0149992,,,Prof. F. J. Meggit,Worker
39,CT#39,NHMUK,10820585,Orientalibombus,Bombus haemorrhoidalis,1909.0,Jun,,India,"Naga Hills, Kohima",26.0,95.0,1402,1402,H. C. Tytler,Worker
40,CT#40,NHMUK,10820586,Orientalibombus,Bombus haemorrhoidalis,1930.0,May,12/5/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610,610,F. Kingdon Ward,Worker
41,CT#41,NHMUK,10820587,Orientalibombus,Bombus haemorrhoidalis,1890.0,Jul,9/7/1890,India,Margherita (Assam),27.2919823,95.6377774,,,C. T. Bingham,Worker
42,CT#42,NHMUK,10820588,Orientalibombus,Bombus haemorrhoidalis,1909.0,Jun,,India,"Naga Hills, Kohima",26.0,95.0,,,H. C. Tytler,Queen
43,CT#43,NHMUK,10820589,Orientalibombus,Bombus haemorrhoidalis,1930.0,Apr,12/4/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610,610,F. Kingdon Ward,Worker
44,CT#44,NHMUK,10820590,Orientalibombus,Bombus haemorrhoidalis,1930.0,Apr,12/4/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610,610,F. Kingdon Ward,Worker
45,CT#45,NHMUK,10820591,Orientalibombus,Bombus haemorrhoidalis,1935.0,Jan,4/1/1935,India,Mishmi Hills,28.2505763,95.9930746,,,M. Steele,Worker
46,CT#46,NHMUK,10820592,Orientalibombus,Bombus haemorrhoidalis,1930.0,Apr,12/4/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610,610,F. Kingdon Ward,Worker
47,CT#47,NHMUK,10820593,Orientalibombus,Bombus haemorrhoidalis,1930.0,Apr,12/4/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610,610,F. Kingdon Ward,Worker
48,CT#48,NHMUK,10820594,Orientalibombus,Bombus haemorrhoidalis,1930.0,Jun,12/6/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610,610,F. Kingdon Ward,Worker
49,CT#49,NHMUK,10820595,Orientalibombus,Bombus haemorrhoidalis,1935.0,,,India,Mishmi Hills,28.2505763,95.9930746,,,M. Steele,Queen
50,CT#50,NHMUK,10820596,Orientalibombus,Bombus haemorrhoidalis,1935.0,,,India,Mishmi Hills,28.2505763,95.9930746,,,M. Steele,Queen
51,CT#51,NHMUK,10820597,Orientalibombus,Bombus haemorrhoidalis,1935.0,Mar,19/3/1935,India,Mishmi Hills,28.2505763,95.9930746,,,M. Steele,Worker
