nbits,nprimes,msgsize,spawnTime,encrTime,decrTime,memory
8,2,8,0.000445604,4.63e-05,1.55e-05,0.00151062
8,2,16,0.000445604,2.98e-05,2.5e-05,0.001296997
8,2,24,0.000445604,2.67e-05,4.27e-05,0.001235962
8,2,32,0.000445604,1.45e-05,1.29e-05,0.001235962
8,3,8,0.000261784,2.1e-05,2.03e-05,0.000900269
8,3,16,0.000261784,2.86e-05,1.91e-05,0.001235962
8,3,24,0.000261784,1.96e-05,1.84e-05,0.001235962
8,3,32,0.000261784,2e-05,1.88e-05,0.001235962
8,4,8,0.00037694,2.34e-05,2.1e-05,0.000900269
8,4,16,0.00037694,2.48e-05,2.19e-05,0.001235962
8,4,24,0.00037694,2.22e-05,2.12e-05,0.001235962
8,4,32,0.00037694,2.29e-05,2.12e-05,0.001235962
8,5,8,0.000430346,7.56e-05,4.53e-05,0.000930786
8,5,16,0.000430346,5.94e-05,5.41e-05,0.001235962
8,5,24,0.000430346,7.1e-05,5.91e-05,0.001235962
8,5,32,0.000430346,4.41e-05,4.51e-05,0.001235962
8,6,8,0.004021168,6.77e-05,4.22e-05,0.000930786
8,6,16,0.004021168,0.000112057,7.92e-05,0.001235962
8,6,24,0.004021168,6.96e-05,7.37e-05,0.001235962
8,6,32,0.004021168,5.32e-05,3.93e-05,0.001235962
8,7,8,0.004235029,9.56e-05,8.73e-05,0.000930786
8,7,16,0.004235029,7.49e-05,5.13e-05,0.001235962
8,7,24,0.004235029,7.7e-05,6.03e-05,0.001235962
8,7,32,0.004235029,5.84e-05,5.77e-05,0.001235962
8,8,8,0.015230417,7.51e-05,6.1e-05,0.000930786
8,8,16,0.015230417,0.000102997,8.03e-05,0.001235962
8,8,24,0.015230417,8.92e-05,9.06e-05,0.001235962
8,8,32,0.015230417,8.96e-05,8.06e-05,0.001235962
8,9,8,0.065005064,0.000104904,7.51e-05,0.000930786
8,9,16,0.065005064,0.000136614,0.00013876,0.001235962
8,9,24,0.065005064,0.000102758,8.08e-05,0.001235962
8,9,32,0.065005064,8.89e-05,6.27e-05,0.001235962
8,10,8,0.034732103,9.13e-05,7.65e-05,0.000930786
8,10,16,0.034732103,0.00011158,9.68e-05,0.001235962
8,10,24,0.034732103,8.06e-05,8.23e-05,0.001235962
8,10,32,0.034732103,7.41e-05,6.68e-05,0.001235962
16,2,8,0.000392199,4.84e-05,3.84e-05,0.000930786
16,2,16,0.000392199,5.63e-05,3.53e-05,0.001235962
16,2,24,0.000392199,3.98e-05,3.81e-05,0.001235962
16,2,32,0.000392199,3.89e-05,3.67e-05,0.001235962
16,3,8,0.000425816,5.39e-05,5.1e-05,0.000930786
16,3,16,0.000425816,9.89e-05,7.63e-05,0.001235962
16,3,24,0.000425816,0.000102043,6.77e-05,0.001235962
16,3,32,0.000425816,7.06e-05,6.32e-05,0.001235962
16,4,8,0.000715017,8.7e-05,7.37e-05,0.000930786
16,4,16,0.000715017,0.000108242,9.58e-05,0.001235962
16,4,24,0.000715017,7.99e-05,7.61e-05,0.001235962
16,4,32,0.000715017,6.68e-05,6.58e-05,0.001235962
16,5,8,0.000902414,0.000102282,0.000101566,0.000930786
16,5,16,0.000902414,8.15e-05,8.34e-05,0.001235962
16,5,24,0.000902414,8.2e-05,8.13e-05,0.001235962
16,5,32,0.000902414,8.2e-05,8.32e-05,0.001235962
16,6,8,0.001054764,0.000169516,0.000213146,0.000930786
16,6,16,0.001054764,0.000160933,0.000178814,0.001235962
16,6,24,0.001054764,0.000214577,0.000210524,0.001235962
16,6,32,0.001054764,0.000203371,0.000198603,0.001235962
16,7,8,0.001887798,0.000179768,0.000185251,0.000930786
16,7,16,0.001887798,0.000197887,0.000185013,0.001235962
