Q_State,Temperature,Pressure,External_Observers,Entanglement_Level,Probability_of_Outcome,Decision_Superposition,Outcome
"[0.8485863818701669, 0.5290568518642389]",26.67741999091984,1001.1622493023954,0,0.5286361042569344,0.7222071710027953,0,Yes
"[0.8156770957975338, 0.5785074549141962]",19.79604683696504,1038.2619291544115,2,0.5401125394027401,0.5154437827578033,1,No
"[0.5170479647838849, 0.8559564253586993]",20.72280587676577,1014.3449952311976,2,0.3315310443753485,0.637156607409714,0,Yes
"[0.9944946589029714, 0.10478727696367944]",25.39888086837174,1047.1287273945436,1,0.0962820155082108,0.3645971533883457,0,No
"[0.9893942452777404, 0.14525504263635894]",20.62697011589556,1037.3796535324238,4,0.7059781311934695,0.148606179486572,0,No
"[0.895336251768239, 0.4453908354126751]",23.095808594422856,1004.0125097608308,5,0.4719608356196068,0.7945087162091149,1,No
"[0.20460393212731737, 0.978844845191535]",15.819322063879934,984.5131925618076,1,0.1321695722034828,0.3746786856751795,1,Yes
"[0.9065242672319818, 0.422153707693677]",18.310925942622728,1007.8842301948685,0,0.5983241999783973,0.7265174096173628,1,No
"[0.3739145092663797, 0.9274631743417538]",27.948846760631245,1003.3265992626752,3,0.2454720770255199,0.7886858955587923,0,Yes
"[0.47015321198532095, 0.8825848159015006]",21.147849016977418,1033.9711821083683,3,0.4727499807026161,0.5206558729872254,0,No
"[0.38917310990339216, 0.9211646381229157]",18.92240591673773,1018.512105906336,7,0.2129766576939821,0.3682099786305929,0,Yes
"[0.5456005444538732, 0.8380453722153932]",21.56641897148296,1023.2133975730771,5,0.8670606270586685,0.8514978280087042,1,Yes
"[0.9159170403227521, 0.40136763103968676]",28.22561324690863,984.4185643948276,6,0.759952794846387,0.3559759022978536,0,No
"[0.7525388934520945, 0.6585478068006128]",24.9501587239018,1035.3752083744248,2,0.0049613017617867,0.3537713447548258,1,Yes
"[0.6993578127993131, 0.7147717465572915]",15.627100882283065,996.3600179497048,1,0.763112207446526,0.1846946105571799,1,No
"[0.9506945829313908, 0.3101286990668696]",27.39448711158889,1010.5705122247452,3,0.3277804690614775,0.4477386410904516,0,Yes
"[0.6040329788171468, 0.7969593217356105]",34.91507918813089,1027.3957477113545,5,0.3822200219658083,0.0538711845518538,1,Yes
"[0.36938900474733727, 0.9292748587860169]",18.25278402506392,1036.918397379532,6,0.0639769657739249,0.704617044449255,0,Yes
"[0.8931504090016136, 0.4497580982041907]",15.010368319414445,1033.1067922460002,0,0.3750137721356401,0.4309546406754674,1,Yes
"[0.29386733669474113, 0.9558462158861851]",18.663028694762247,989.233037031374,6,0.912587773985874,0.9211087106265384,1,No
"[0.8873244246947604, 0.461145709445629]",18.044608022655574,1045.5727539033928,8,0.2666592731038228,0.9440961103162662,1,Yes
"[0.8526008082594625, 0.5225627825968008]",34.62160897040091,1035.7980257652664,1,0.9231486178634216,0.2952505085189018,1,Yes
"[0.7371267576563192, 0.6757544991689527]",29.9237755223228,1039.6034313407697,0,0.4644989842128989,0.0094466728285471,0,No
"[0.924008304616479, 0.38237240093890185]",33.06146648611667,980.9956392723468,8,0.5854361418745437,0.7463775708221728,1,Yes
"[0.5888347889155362, 0.8082534202604998]",34.089076322238576,1044.2398426120876,9,0.8174944528383518,0.9385164896802182,1,No
"[0.20284675464511703, 0.9792104953123939]",31.35582773279725,1023.868414597768,0,0.6334406147590627,0.331651718625979,1,Yes
