Name,MP,Area,County,Electorate,CON,LAB,LIB,Brexit,Green,NAT,MIN,OTH,CON_Percentage,LAB_Percentage,LIB_Percentage,Brexit_Percentage,Green_Percentage,NAT_Percentage,MIN_Percentage,OTH_Percentage,Winner
Aldershot,Leo Docherty,12,Hampshire,72617,27980,11282,6920,0,1750,0,0,0,0.385309225,0.155363069,0.09529449,0.0,0.02409904,0.0,0.0,0.0,CON
Aldridge-Brownhills,Wendy Morton,7,Black Country,60138,27850,8014,2371,0,771,0,0,336,0.463101533,0.133260168,0.039425987,0.0,0.012820513,0.0,0.0,0.00558715,CON
Altrincham and Sale West,Graham Brady,4,Central Manchester,73107,26311,20172,6036,0,1566,0,0,678,0.359897137,0.27592433,0.082563913,0.0,0.021420657,0.0,0.0,0.009274078,CON
Amber Valley,Nigel Mills,8,Derbyshire,69976,29096,12210,2873,0,1388,0,0,0,0.415799703,0.174488396,0.041056934,0.0,0.019835372,0.0,0.0,0.0,CON
Arundel and South Downs,Andrew Griffith,12,West Sussex,81726,35566,9722,13045,0,2519,0,0,556,0.435185865,0.118958471,0.159618726,0.0,0.030822504,0.0,0.0,0.006803221,CON
Ashfield,Lee Anderson,8,Nottinghamshire,78204,19231,11971,1105,2501,674,0,13498,0,0.245908138,0.153074012,0.014129712,0.031980461,0.008618485,0.0,0.172599867,0.0,CON
Ashford,Damian Green,12,Kent,89553,37270,13241,6048,0,2638,0,0,862,0.416178129,0.147856577,0.067535426,0.0,0.029457416,0.0,0.0,0.009625585,CON
Ashton under Lyne,Angela Rayner,4,Eastern Manchester,67978,14281,18544,1395,3151,1208,0,0,0,0.210082674,0.272794139,0.020521345,0.046353232,0.017770455,0.0,0.0,0.0,LAB
Aylesbury,Rob Butler,12,Buckinghamshire,86665,32737,15364,10081,0,2394,0,0,0,0.37774188,0.177280332,0.116321468,0.0,0.027623608,0.0,0.0,0.0,CON
Banbury,Victoria Prentis,12,Oxfordshire,90116,34148,17335,8831,0,2607,0,0,0,0.378933819,0.192363176,0.097995916,0.0,0.02892938,0.0,0.0,0.0,CON
Barking,Margaret Hodge,11,Barking and Dagenham,77953,11792,27219,1482,3186,820,0,0,0,0.151270637,0.349171937,0.019011456,0.040870781,0.010519159,0.0,0.0,0.0,LAB
Barnsley Central,Dan Jarvis,5,South Yorkshire,65277,7892,14804,1176,11233,900,0,0,898,0.120900164,0.226787383,0.018015534,0.17208205,0.013787398,0.0,0.0,0.01375676,LAB
Barnsley East,Stephanie Peacock,5,South Yorkshire,69504,10377,14329,1330,11112,922,0,0,0,0.14930076,0.206160797,0.019135589,0.159875691,0.013265424,0.0,0.0,0.0,LAB
Barrow and Furness,Simon Fell,4,Cumbria,70158,23876,18087,2025,1355,703,0,0,0,0.340317569,0.257803814,0.028863423,0.019313549,0.01002024,0.0,0.0,0.0,CON
Basildon and Billericay,John Baron,9,Essex,69906,29590,9178,3741,0,1395,0,0,224,0.423282694,0.13129059,0.05351472,0.0,0.019955369,0.0,0.0,0.003204303,CON
Basildon South and East Thurrock,Stephen Metcalfe,9,Essex,74441,29973,10051,1957,0,0,0,3316,0,0.402641018,0.13501968,0.026289276,0.0,0.0,0.0,0.044545345,0.0,CON
Basingstoke,Maria Miller,12,Hampshire,82928,29593,15395,6841,0,2138,0,0,746,0.356851727,0.185642967,0.082493247,0.0,0.025781401,0.0,0.0,0.008995755,CON
Bassetlaw,Brendan Clarke-Smith,8,Nottinghamshire,80024,28078,14065,3332,5366,0,0,0,0,0.350869739,0.175759772,0.041637509,0.067054884,0.0,0.0,0.0,0.0,CON
Bath,Wera Hobhouse,10,Bristol area,67805,16097,6639,28419,642,0,0,0,341,0.237401372,0.097913133,0.419128383,0.009468328,0.0,0.0,0.0,0.005029128,LIB
Batley and Spen,Tracy Brabin,5,West Yorkshire,79558,19069,22594,2462,1678,692,0,6432,0,0.239686769,0.283994067,0.030945977,0.021091531,0.008698057,0.0,0.080846678,0.0,LAB
Battersea,Marsha De Cordova,11,Wandsworth,79350,21622,27290,9150,386,1529,0,0,0,0.272488973,0.343919345,0.115311909,0.004864524,0.019269061,0.0,0.0,0.0,LAB
Beaconsfield,Joy Morrissey,12,Buckinghamshire,77720,32477,5756,0,0,2033,0,16765,837,0.417871848,0.074060731,0.0,0.0,0.026158003,0.0,0.215710242,0.010769429,CON
Beckenham,Bob Stewart,11,Bromley,68662,27282,13024,8194,0,2055,0,0,0,0.397337683,0.189682794,0.119338207,0.0,0.029929218,0.0,0.0,0.0,CON
Bedford,Mohammad Yasin,9,Bedfordshire,71581,20346,20491,4608,896,960,0,0,0,0.284237437,0.286263115,0.064374625,0.012517288,0.01341138,0.0,0.0,0.0,LAB
Bedfordshire Mid,Nadine Dorries,9,Bedfordshire,87795,38692,14028,8171,0,2478,0,0,1348,0.440708469,0.159781309,0.093069081,0.0,0.028224842,0.0,0.0,0.01535395,CON
Bedfordshire North East,Richard Fuller,9,Bedfordshire,90678,38443,14160,7999,0,1891,0,2525,0,0.423950683,0.156156951,0.088213238,0.0,0.020854011,0.0,0.027845784,0.0,CON
Bedfordshire South West,Andrew Selous,9,Bedfordshire,79926,32212,13629,5435,0,2031,0,0,0,0.403022796,0.170520231,0.0680004,0.0,0.025411005,0.0,0.0,0.0,CON
Bermondsey and Old Southwark,Neil Coyle,11,Southwark,93248,9678,31723,15597,1617,0,0,0,0,0.103787749,0.340200326,0.167263641,0.017340854,0.0,0.0,0.0,0.0,LAB
Berwick-upon-Tweed,Anne-Marie Trevelyan,3,Northumberland,59939,23947,9112,7656,0,1394,0,0,0,0.399522848,0.152021222,0.127729859,0.0,0.023256978,0.0,0.0,0.0,CON
Bethnal Green and Bow,Rushanara Ali,11,Tower Hamlets,88262,6528,44052,5892,1081,2570,0,0,439,0.073961614,0.499104938,0.066755795,0.012247626,0.029117854,0.0,0.0,0.004973828,LAB
Beverley and Holderness,Graham Stuart,5,Humber area,79696,33250,12802,4671,0,1378,0,0,1441,0.4172104,0.160635415,0.058610219,0.0,0.017290705,0.0,0.0,0.018081209,CON
Bexhill and Battle,Huw Merriman,12,East Sussex,81963,37590,11531,7280,0,2692,0,0,0,0.458621573,0.140685431,0.088820565,0.0,0.032844088,0.0,0.0,0.0,CON
Bexleyheath and Crayford,David Evennett,11,Bexley,65466,25856,12753,2819,0,1298,0,0,520,0.394953105,0.194803409,0.04306052,0.0,0.019827086,0.0,0.0,0.007943054,CON
Birkenhead,Mick Whitley,4,Merseyside,63762,5540,24990,1620,1489,1405,0,7285,0,0.086885606,0.391926226,0.025406982,0.023352467,0.022035068,0.0,0.114253003,0.0,LAB
Birmingham Edgbaston,Preet Gill,7,Birmingham,68828,15603,21217,3349,1047,1112,0,0,0,0.226695531,0.308261173,0.048657523,0.015211832,0.016156215,0.0,0.0,0.0,LAB
Birmingham Erdington,Jack Dromey,7,Birmingham,66148,14119,17720,1301,1441,648,0,0,0,0.213445607,0.267884139,0.019668017,0.021784483,0.009796215,0.0,0.0,0.0,LAB
Birmingham Hall Green,Tahir Ali,7,Birmingham,80283,7381,35889,3673,877,818,0,4273,0,0.091937272,0.447031127,0.045750657,0.010923857,0.010188957,0.0,0.053224219,0.0,LAB
Birmingham Hodge Hill,Liam Byrne,7,Birmingham,78295,6742,35397,760,1519,328,0,0,257,0.086110224,0.452097835,0.009706878,0.019400983,0.004189284,0.0,0.0,0.003282457,LAB
Birmingham Ladywood,Shabana Mahmood,7,Birmingham,74912,4773,33355,2228,831,931,0,0,0,0.063714759,0.445255767,0.029741563,0.011093016,0.012427915,0.0,0.0,0.0,LAB
Birmingham Northfield,Gary Sambrook,7,Birmingham,73694,19957,18317,1961,1655,954,0,0,254,0.270809021,0.248554835,0.026610036,0.022457731,0.012945423,0.0,0.0,0.003446685,CON
Birmingham Perry Barr,Khalid Mahmood,7,Birmingham,72006,11277,26594,1901,1382,845,0,0,148,0.156611949,0.369330334,0.026400578,0.019192845,0.011735133,0.0,0.0,0.002055384,LAB
Birmingham Selly Oak,Steve McCabe,7,Birmingham,82665,15300,27714,3169,1436,1848,0,0,0,0.185084377,0.335256759,0.03833545,0.017371318,0.022355289,0.0,0.0,0.0,LAB
Birmingham Yardley,Jess Phillips,7,Birmingham,74704,12720,23379,3754,2246,579,0,0,0,0.170272007,0.31295513,0.05025166,0.030065324,0.007750589,0.0,0.0,0.0,LAB
Bishop Auckland,Dehenna Davison,3,Durham,68170,24067,16105,2133,2500,0,0,0,0,0.353043861,0.236247616,0.031289424,0.036673023,0.0,0.0,0.0,0.0,CON
Blackburn,Kate Hollern,4,Lancashire,71234,10736,29040,1130,2770,741,0,0,319,0.150714546,0.407670494,0.015863211,0.038885925,0.010402336,0.0,0.0,0.004478199,LAB
Blackley and Broughton,Graham Stringer,4,Central Manchester,73372,9485,23887,1590,2736,920,0,0,0,0.129272747,0.325560159,0.021670392,0.037289429,0.012538843,0.0,0.0,0.0,LAB
Blackpool North and Cleveleys,Paul Maynard,4,Lancashire,63692,22364,13768,1494,0,735,0,0,443,0.3511273,0.216165295,0.023456635,0.0,0.011539911,0.0,0.0,0.006955348,CON
Blackpool South,Scott Benton,4,Lancashire,57690,16247,12557,1008,2009,563,0,0,368,0.281625932,0.217663373,0.017472699,0.03482406,0.009759057,0.0,0.0,0.006378922,CON
Blaydon,Liz Twist,3,Newcastle area,67853,14263,19794,3703,5833,1279,0,0,809,0.210204412,0.291718863,0.054573858,0.085965248,0.018849572,0.0,0.0,0.011922833,LAB
Blyth Valley,Ian Levy,3,Northumberland,64429,17440,16728,2151,3394,1146,0,0,0,0.270685561,0.259634637,0.033385587,0.052678142,0.017787021,0.0,0.0,0.0,CON
Bognor Regis and Littlehampton,Nick Gibb,12,West Sussex,77446,32521,10018,5645,0,1826,0,0,1213,0.419918395,0.129354647,0.072889497,0.0,0.023577719,0.0,0.0,0.015662526,CON
Bolsover,Mark Fletcher,8,Derbyshire,74292,21791,16492,1759,4151,758,0,0,987,0.293315566,0.221988909,0.023676843,0.055874118,0.010202983,0.0,0.0,0.013285414,CON
Bolton North East,Mark Logan,4,Western Manchester,67564,19759,19381,1847,1880,689,0,0,0,0.292448641,0.286853946,0.027337043,0.027825469,0.010197738,0.0,0.0,0.0,CON
Bolton South East,Yasmin Qureshi,4,Western Manchester,69163,13918,21516,1411,2968,791,0,0,0,0.201234764,0.31109119,0.020401082,0.042913118,0.011436751,0.0,0.0,0.0,LAB
Bolton West,Chris Green,4,Western Manchester,73191,27255,18400,2704,0,939,0,0,0,0.37238185,0.25139703,0.036944433,0.0,0.012829446,0.0,0.0,0.0,CON
Bootle,Peter Dowd,4,Merseyside,74832,4510,39066,1822,2610,1166,0,0,0,0.060268334,0.522049391,0.024347873,0.034878127,0.015581569,0.0,0.0,0.0,LAB
